 ****************** Start WS v. 1.61 at 2014-10-14 09:05:28 ******************
 
 Wiggler A at APS
 energy   7.000 GeV   current 100.0 mA
 period   8.500  cm   N        28.0      Kx      0.000      Ky      8.740
 emin    1000.0  eV   emax 100000.0 eV   ne       2000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      2.000  mm   yps     2.000 mm   nxp        10      nyp        10
 
 b0       1.101   T   ec0    35.884  keV
 e1      139.67  eV   l1     88.767  A
 ptot    8947.6   W   pd       89.1  W/mm^2
 
 Flux through   2.000 mm x  2.000 mm pinhole at  0.000 mm,  0.000 mm @ 30.000 m:
 Integrated flux   6.642E+16 ph/s
 Integrated power     262.21 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)    p1      p2      p3      p4
  17343.172   2.159780E+013     0.934   0.000   0.000   0.066
  17392.696   2.161492E+013     0.934   0.000   0.000   0.066
  17442.221   2.163193E+013     0.934   0.000   0.000   0.066
  17491.746   2.164883E+013     0.934   0.000   0.000   0.066
  17541.271   2.166561E+013     0.934   0.000   0.000   0.066
  17590.795   2.168227E+013     0.933   0.000   0.000   0.067
  17640.320   2.169881E+013     0.933   0.000   0.000   0.067
  17689.845   2.171524E+013     0.933   0.000   0.000   0.067
  17739.370   2.173156E+013     0.933   0.000   0.000   0.067
  17788.894   2.174776E+013     0.933   0.000   0.000   0.067
  17838.419   2.176385E+013     0.933   0.000   0.000   0.067
  17887.944   2.177982E+013     0.933   0.000   0.000   0.067
  17937.469   2.179568E+013     0.933   0.000   0.000   0.067
  17986.993   2.181143E+013     0.933   0.000   0.000   0.067
  18036.518   2.182706E+013     0.933   0.000   0.000   0.067
  18086.043   2.184258E+013     0.933   0.000   0.000   0.067
  18135.568   2.185799E+013     0.933   0.000   0.000   0.067
  18185.093   2.187329E+013     0.933   0.000   0.000   0.067
  18234.617   2.188848E+013     0.933   0.000   0.000   0.067
  18284.142   2.190356E+013     0.933   0.000   0.000   0.067
  18333.667   2.191853E+013     0.933   0.000   0.000   0.067
  18383.192   2.193338E+013     0.933   0.000   0.000   0.067
  18432.716   2.194813E+013     0.933   0.000   0.000   0.067
  18482.241   2.196277E+013     0.933   0.000   0.000   0.067
  18531.766   2.197730E+013     0.932   0.000   0.000   0.068
  18581.291   2.199173E+013     0.932   0.000   0.000   0.068
  18630.815   2.200604E+013     0.932   0.000   0.000   0.068
  18680.340   2.202025E+013     0.932   0.000   0.000   0.068
  18729.865   2.203435E+013     0.932   0.000   0.000   0.068
  18779.390   2.204834E+013     0.932   0.000   0.000   0.068
  18828.914   2.206223E+013     0.932   0.000   0.000   0.068
  18878.439   2.207601E+013     0.932   0.000   0.000   0.068
  18927.964   2.208969E+013     0.932   0.000   0.000   0.068
  18977.489   2.210326E+013     0.932   0.000   0.000   0.068
  19027.014   2.211672E+013     0.932   0.000   0.000   0.068
  19076.538   2.213008E+013     0.932   0.000   0.000   0.068
  19126.063   2.214334E+013     0.932   0.000   0.000   0.068
  19175.588   2.215649E+013     0.932   0.000   0.000   0.068
  19225.113   2.216954E+013     0.932   0.000   0.000   0.068
  19274.637   2.218249E+013     0.932   0.000   0.000   0.068
  19324.162   2.219533E+013     0.932   0.000   0.000   0.068
  19373.687   2.220808E+013     0.932   0.000   0.000   0.068
  19423.212   2.222072E+013     0.932   0.000   0.000   0.068
  19472.736   2.223325E+013     0.932   0.000   0.000   0.068
  19522.261   2.224569E+013     0.932   0.000   0.000   0.068
  19571.786   2.225803E+013     0.931   0.000   0.000   0.069
  19621.311   2.227026E+013     0.931   0.000   0.000   0.069
  19670.835   2.228240E+013     0.931   0.000   0.000   0.069
  19720.360   2.229443E+013     0.931   0.000   0.000   0.069
  19769.885   2.230637E+013     0.931   0.000   0.000   0.069
  19819.410   2.231820E+013     0.931   0.000   0.000   0.069
  19868.934   2.232994E+013     0.931   0.000   0.000   0.069
  19918.459   2.234158E+013     0.931   0.000   0.000   0.069
  19967.984   2.235312E+013     0.931   0.000   0.000   0.069
  20017.509   2.236456E+013     0.931   0.000   0.000   0.069
