#UD Electron Binding Energies in keV for the elements in their natural forms
#UD 
#UD 
#UD REFERENCE:
#UD Table of Isotopes, CD-ROM, 8th edition, Version 1.0, March 1996
#UD Richard B Firestone
#UD S Y Frank Chu, CD-ROM Editor
#UD Virginia S Shirley, Editor
#UD Wiley-Interscience
#UD 
#UD Nota: 
#UD The values are sorted by shell. Shells with no electrons may present the -99999 (dummy) value.
#UD 
#S  1 H
#UTOEV  1000.0
#N  1
#L  K(1s1/2)
 0.0136
#S  2 He
#UTOEV  1000.0
#N  1
#L  K(1s1/2)
 0.0246
#S  3 Li
#UTOEV  1000.0
#N  2
#L  K(1s1/2)  L1(2s1/2)
 0.0548 0.0053
#S  4 Be
#UTOEV  1000.0
#N  2
#L  K(1s1/2)  L1(2s1/2)
 0.1121 0.0080
#S  5 B
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.1880 0.0126 0.0047 0.0047
#S  6 C
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.2838 0.0180 0.0064 0.0064
#S  7 N
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.4016 0.0244 0.0092 0.0092
#S  8 O
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.5320 0.0285 0.0071 0.0071
#S  9 F
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.6854 0.0340 0.0086 0.0086
#S  10 Ne
#UTOEV  1000.0
#N  4
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)
 0.8701 0.0485 0.0217 0.0216
#S  11 Na
#UTOEV  1000.0
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)  N6(4f5/2)  N7(4f7/2)  O1(5s1/2)  O2(5p1/2)  O3(5p3/2)
 29.2001 4.4647 4.1561 3.9288 0.8838 0.7564 0.7144 0.4933 0.4848 0.1365 0.0886 0.0886 0.0239 0.0239 -99999 -99999 0.0009 0.0011 0.0011
#S  51 Sb
#UTOEV  1000.0
#N  19
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)  N6(4f5/2)  N7(4f7/2)  O1(5s1/2)  O2(5p1/2)  O3(5p3/2)
 30.4912 4.6983 4.3804 4.1322 0.9437 0.8119 0.7656 0.5369 0.5275 0.1520 0.0984 0.0984 0.0314 0.0314 -99999 -99999 0.0067 0.0021 0.0021
#S  52 Te
#UTOEV  1000.0
#N  19
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)  N6(4f5/2)  N7(4f7/2)  O1(5s1/2)  O2(5p1/2)  O3(5p3/2)
 31.8138 4.9392 4.6120 4.3414 1.0060 0.8697 0.8187 0.5825 0.5721 0.1683 0.1102 0.1102 0.0398 0.0398 -99999 -99999 0.0116 0.0023 0.0023
#S  53 I
#UTOEV  1000.0
#N  19
#L  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)  N6(4f5/2)  N7(4f7/2)  O1(5s1/2)  O2(5p1/2)  O3(5p3/2)
 33.1694 5.1881 4.8521 4.5571 1.0721 0.9305 0.8746 0.6313 0.6194 0.1864 0.1227 0.1227 0.0496 0.0496 -99999 -99999 0.0136 0.0033 0.0033
#S  54 Xe
#UTOEV  1000.0
#N  19
