 ****************** Start US v. 1.94 at 2015-05-07 12:21:22 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA   sige   0.0000000
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    9972.1  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      3.000  mm   yps     3.000 mm   nxp        20      nyp        40
 mode         6       method      1      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Power density distribution @  30.000 m (W/mm^2):
 
 Integrated power     4955.5 W
 Contributing harmonics    1 to   26
 
    x(mm)      y(mm)     Power density       p1      p2      p3      p4
    0.3000     0.6000    6.161752E+02     0.935  -0.005   0.000   0.065
    0.3000     0.6375    6.081797E+02     0.927  -0.005   0.000   0.073
    0.3000     0.6750    5.998436E+02     0.920  -0.005   0.000   0.080
    0.3000     0.7125    5.911761E+02     0.912  -0.005   0.000   0.088
    0.3000     0.7500    5.822242E+02     0.904  -0.006   0.000   0.096
    0.3000     0.7875    5.729758E+02     0.896  -0.006   0.000   0.104
    0.3000     0.8250    5.634635E+02     0.887  -0.006   0.000   0.113
    0.3000     0.8625    5.537466E+02     0.879  -0.007   0.000   0.121
    0.3000     0.9000    5.437946E+02     0.870  -0.007   0.000   0.130
    0.3000     0.9375    5.336381E+02     0.861  -0.007   0.000   0.139
    0.3000     0.9750    5.233424E+02     0.853  -0.007   0.000   0.147
    0.3000     1.0125    5.128955E+02     0.844  -0.008   0.000   0.156
    0.3000     1.0500    5.023291E+02     0.835  -0.008   0.000   0.165
    0.3000     1.0875    4.916741E+02     0.826  -0.008   0.000   0.174
    0.3000     1.1250    4.809342E+02     0.817  -0.009   0.000   0.183
    0.3000     1.1625    4.701533E+02     0.808  -0.009   0.000   0.192
    0.3000     1.2000    4.593414E+02     0.799  -0.009   0.000   0.201
    0.3000     1.2375    4.484976E+02     0.790  -0.009   0.000   0.210
    0.3000     1.2750    4.376918E+02     0.781  -0.010   0.000   0.218
    0.3000     1.3125    4.268753E+02     0.773  -0.010   0.000   0.227
    0.3000     1.3500    4.160649E+02     0.764  -0.010   0.000   0.236
    0.3000     1.3875    4.051942E+02     0.756  -0.011   0.000   0.244
    0.3000     1.4250    3.940923E+02     0.747  -0.011   0.000   0.253
    0.3000     1.4625    3.824367E+02     0.739  -0.011   0.000   0.261
    0.3000     1.5000    3.695503E+02     0.732  -0.012   0.000   0.268
    0.3750     0.0000    6.815222E+02     0.997  -0.001   0.000   0.003
    0.3750     0.0375    6.813134E+02     0.997  -0.001   0.000   0.003
    0.3750     0.0750    6.804731E+02     0.996  -0.001   0.000   0.004
    0.3750     0.1125    6.790686E+02     0.995  -0.001   0.000   0.005
    0.3750     0.1500    6.772370E+02     0.993  -0.001   0.000   0.007
    0.3750     0.1875    6.747250E+02     0.991  -0.002   0.000   0.009
    0.3750     0.2250    6.717322E+02     0.988  -0.002   0.000   0.012
    0.3750     0.2625    6.682926E+02     0.984  -0.002   0.000   0.016
    0.3750     0.3000    6.641918E+02     0.981  -0.003   0.000   0.019
    0.3750     0.3375    6.596951E+02     0.976  -0.003   0.000   0.024
    0.3750     0.3750    6.547160E+02     0.971  -0.003   0.000   0.029
    0.3750     0.4125    6.491743E+02     0.966  -0.003   0.000   0.034
    0.3750     0.4500    6.432691E+02     0.961  -0.004   0.000   0.039
    0.3750     0.4875    6.368735E+02     0.955  -0.004   0.000   0.045
    0.3750     0.5250    6.300280E+02     0.948  -0.004   0.000   0.052
    0.3750     0.5625    6.228833E+02     0.942  -0.005   0.000   0.058
    0.3750     0.6000    6.152152E+02     0.935  -0.005   0.000   0.065
    0.3750     0.6375    6.072215E+02     0.927  -0.005   0.000   0.073
    0.3750     0.6750    5.989651E+02     0.920  -0.006   0.000   0.080
    0.3750     0.7125    5.902418E+02     0.912  -0.006   0.000   0.088
    0.3750     0.7500    5.813092E+02     0.904  -0.006   0.000   0.096
    0.3750     0.7875    5.721201E+02     0.896  -0.007   0.000   0.104
    0.3750     0.8250    5.625600E+02     0.887  -0.007   0.000   0.113
    0.3750     0.8625    5.528612E+02     0.879  -0.007   0.000   0.121
    0.3750     0.9000    5.429330E+02     0.870  -0.007   0.000   0.130
    0.3750     0.9375    5.327768E+02     0.861  -0.008   0.000   0.139
    0.3750     0.9750    5.225308E+02     0.853  -0.008   0.000   0.147
    0.3750     1.0125    5.120766E+02     0.844  -0.008   0.000   0.156
    0.3750     1.0500    5.015088E+02     0.835  -0.009   0.000   0.165
    0.3750     1.0875    4.909309E+02     0.826  -0.009   0.000   0.174
