 ****** URGENT - Version 3.0 ******

 UNDULATOR : PERIOD = 0.01800  KX =  0.0000  KY =  1.6800  PHASE =    0.0  N = 222

 PHOTON ENERGY RANGE : MIN =      0.000  MAX =      0.000  N =    0

 ELECTRON BEAM : ENERGY =  6.040  CURRENT = 0.200
 SIGX = 0.3950  SIGY = 0.0099  SIGX1 = 0.0105  SIGY1 = 0.0039

 ACCEPTANCE : D =   30.000  XCENTRE =   0.000  YCENTRE =   0.000
 XSIZE =   3.000  YSIZE =   3.000  NXP = 40  NYP = 40

 MODE = 6  ICALC = 1  IHARM =  -200
 NPHI =   0 NSIG =   4 NALPHA =   0 DALPHA =  0.0 NOMEGA =    0 DOMEGA =  0.0

 E1 =   7982.253 EV  LAMDA1 =      1.553 ANGSTROM
 TOTAL POWER =  18413.693 WATTS  POWER DENSITY = 624334.787 WATTS/MRAD**2

 UNITS :
 IRRADIANCE -               PHOTONS/S/MM**2/0.1%BW
 ANGULAR FLUX DENSITY -     PHOTONS/S/MRAD**2/0.1%BW
 BRIGHTNESS -               PHOTONS/S/MRAD*2/MM**2/0.1%BW
 FLUX -                     PHOTONS/S/0.1%BW
 (SPECTRAL) POWER DENSITY - WATTS/MM**2 OR MRAD**2(/EV)
 (SPECTRAL) POWER -         WATTS(/EV)



    0.263     0.637   0.609326D+03   0.179075D+18
    0.263     0.675   0.600862D+03   0.177957D+18
    0.263     0.713   0.592140D+03   0.176806D+18
    0.263     0.750   0.583202D+03   0.175625D+18
    0.263     0.787   0.573872D+03   0.174357D+18
    0.263     0.825   0.564196D+03   0.173013D+18
    0.263     0.862   0.554557D+03   0.171703D+18
    0.263     0.900   0.544576D+03   0.170300D+18
    0.263     0.938   0.534234D+03   0.168802D+18
    0.263     0.975   0.524027D+03   0.167351D+18
    0.263     1.012   0.513571D+03   0.165819D+18
    0.263     1.050   0.502908D+03   0.164221D+18
    0.263     1.087   0.492207D+03   0.162603D+18
    0.263     1.125   0.481515D+03   0.160973D+18
    0.263     1.162   0.470666D+03   0.159273D+18
    0.263     1.200   0.459777D+03   0.157541D+18
    0.263     1.238   0.448997D+03   0.155814D+18
    0.263     1.275   0.438087D+03   0.154011D+18
    0.263     1.312   0.427248D+03   0.152204D+18
    0.263     1.350   0.416550D+03   0.150399D+18
    0.263     1.387   0.405781D+03   0.148527D+18
    0.263     1.425   0.395134D+03   0.146656D+18
    0.263     1.462   0.384642D+03   0.144785D+18
    0.263     1.500   0.374149D+03   0.142861D+18
    0.300     0.000   0.683773D+03   0.188110D+18
    0.300     0.037   0.683570D+03   0.188099D+18
    0.300     0.075   0.682779D+03   0.188012D+18
    0.300     0.112   0.681312D+03   0.187824D+18
    0.300     0.150   0.679411D+03   0.187606D+18
    0.300     0.188   0.676988D+03   0.187326D+18
    0.300     0.225   0.673899D+03   0.186944D+18
    0.300     0.263   0.670310D+03   0.186508D+18
    0.300     0.300   0.666379D+03   0.186055D+18
    0.300     0.337   0.661717D+03   0.185474D+18
    0.300     0.375   0.656665D+03   0.184860D+18
    0.300     0.412   0.651228D+03   0.184210D+18
    0.300     0.450   0.645139D+03   0.183443D+18
    0.300     0.487   0.638691D+03   0.182640D+18
    0.300     0.525   0.631920D+03   0.181806D+18
    0.300     0.562   0.624525D+03   0.180851D+18
    0.300     0.600   0.616868D+03   0.179876D+18
    0.300     0.637   0.608933D+03   0.178868D+18
    0.300     0.675   0.600473D+03   0.177751D+18
    0.300     0.713   0.591761D+03   0.176602D+18
    0.300     0.750   0.582822D+03   0.175422D+18
    0.300     0.787   0.573501D+03   0.174156D+18
    0.300     0.825   0.563912D+03   0.172838D+18
    0.300     0.862   0.554193D+03   0.171504D+18
    0.300     0.900   0.544218D+03   0.170103D+18
    0.300     0.938   0.533940D+03   0.168623D+18
    0.300     0.975   0.523660D+03   0.167150D+18
    0.300     1.012   0.513230D+03   0.165627D+18
    0.300     1.050   0.502581D+03   0.164032D+18
    0.300     1.087   0.491896D+03   0.162422D+18
    0.300     1.125   0.481192D+03   0.160786D+18
    0.300     1.162   0.470312D+03   0.159076D+18
    0.300     1.200   0.459446D+03   0.157352D+18
    0.300     1.238   0.448692D+03   0.155634D+18
    0.300     1.275   0.437787D+03   0.153834D+18
    0.300     1.312   0.426966D+03   0.152030D+18
    0.300     1.350   0.416264D+03   0.150225D+18
    0.300     1.387   0.405496D+03   0.148354D+18
    0.300     1.425   0.394851D+03   0.146482D+18
    0.300     1.462   0.384375D+03   0.144618D+18
    0.300     1.500   0.373868D+03   0.142689D+18
    0.337     0.000   0.683227D+03   0.187848D+18
    0.337     0.037   0.683048D+03   0.187844D+18
    0.337     0.075   0.682217D+03   0.187746D+18
    0.337     0.112   0.680806D+03   0.187573D+18
    0.337     0.150   0.678893D+03   0.187352D+18
    0.337     0.188   0.676462D+03   0.187070D+18
    0.337     0.225   0.673429D+03   0.186703D+18
    0.337     0.263   0.669895D+03   0.186283D+18
    0.337     0.300   0.665894D+03   0.185809D+18
    0.337     0.337   0.661281D+03   0.185242D+18
    0.337     0.375   0.656229D+03   0.184628D+18
    0.337     0.412   0.650752D+03   0.183967D+18
    0.337     0.450   0.644708D+03   0.183212D+18
    0.337     0.487   0.638268D+03   0.182411D+18
    0.337     0.525   0.631455D+03   0.181567D+18
    0.337     0.562   0.624128D+03   0.180631D+18
    0.337     0.600   0.616461D+03   0.179651D+18
    0.337     0.637   0.608482D+03   0.178631D+18
    0.337     0.675   0.600040D+03   0.177519D+18
    0.337     0.713   0.591339D+03   0.176374D+18
    0.337     0.750   0.582361D+03   0.175182D+18
    0.337     0.787   0.573049D+03   0.173920D+18
    0.337     0.825   0.563473D+03   0.172606D+18
    0.337     0.862   0.553731D+03   0.171263D+18
    0.337     0.900   0.543749D+03   0.169862D+18
    0.337     0.938   0.533530D+03   0.168398D+18
    0.337     0.975   0.523243D+03   0.166923D+18
    0.337     1.012   0.512811D+03   0.165401D+18
    0.337     1.050   0.502211D+03   0.163820D+18
    0.337     1.087   0.491502D+03   0.162202D+18
    0.337     1.125   0.480821D+03   0.160574D+18
    0.337     1.162   0.469980D+03   0.158877D+18
    0.337     1.200   0.459123D+03   0.157154D+18
    0.337     1.238   0.448343D+03   0.155428D+18
    0.337     1.275   0.437472D+03   0.153640D+18
    0.337     1.312   0.426664D+03   0.151839D+18
    0.337     1.350   0.415937D+03   0.150027D+18
    0.337     1.387   0.405199D+03   0.148167D+18
    0.337     1.425   0.394570D+03   0.146299D+18
    0.337     1.462   0.384069D+03   0.144427D+18
    0.337     1.500   0.373588D+03   0.142508D+18
    0.375     0.000   0.682696D+03   0.187577D+18
    0.375     0.037   0.682531D+03   0.187576D+18
    0.375     0.075   0.681669D+03   0.187471D+18
    0.375     0.112   0.680239D+03   0.187293D+18
    0.375     0.150   0.678417D+03   0.187095D+18
    0.375     0.188   0.675915D+03   0.186795D+18
    0.375     0.225   0.672860D+03   0.186422D+18
    0.375     0.263   0.669396D+03   0.186020D+18
    0.375     0.300   0.665288D+03   0.185518D+18
    0.375     0.337   0.660754D+03   0.184972D+18
    0.375     0.375   0.655706D+03   0.184359D+18
    0.375     0.412   0.650157D+03   0.183678D+18
    0.375     0.450   0.644191D+03   0.182945D+18
    0.375     0.487   0.637757D+03   0.182146D+18
    0.375     0.525   0.630875D+03   0.181282D+18
    0.375     0.562   0.623661D+03   0.180377D+18
